date,reviews,time_ms,time_min,reviews_per_min
2026-03-24,16,0,0.00,0.000
2026-03-25,47,872307,14.54,3.233
2026-03-26,93,1609742,26.83,3.466
2026-03-27,117,1752619,29.21,4.005
2026-03-28,156,2587408,43.12,3.618
2026-03-29,129,2307689,38.46,3.354
2026-03-30,164,2755660,45.93,3.571
2026-03-31,109,1772791,29.55,3.689
2026-04-01,225,4515282,75.25,2.990
2026-04-02,184,2988903,49.82,3.694
2026-04-03,171,2624057,43.73,3.910
2026-04-04,185,2952367,49.21,3.760
2026-04-05,178,2668596,44.48,4.002
2026-04-06,179,2983264,49.72,3.600
2026-04-07,186,3343432,55.72,3.338
2026-04-08,236,3741612,62.36,3.784
2026-04-09,228,3310013,55.17,4.133
2026-04-10,226,2925099,48.75,4.636
2026-04-11,267,3567102,59.45,4.491
2026-04-12,283,3340155,55.67,5.084
2026-04-13,209,3527090,58.78,3.555
2026-04-14,587,9852582,164.21,3.575
2026-04-15,435,7127230,118.79,3.662
2026-04-16,549,6083470,101.39,5.415
2026-04-17,505,5475455,91.26,5.534
2026-04-18,438,4920758,82.01,5.341
2026-04-19,487,5175465,86.26,5.646
2026-04-20,219,2680815,44.68,4.901
2026-04-21,710,7352619,122.54,5.794
2026-04-22,611,7213308,120.22,5.082
2026-04-23,299,3173939,52.90,5.652
2026-04-24,858,8599691,143.33,5.986
2026-04-25,545,6119192,101.99,5.344
2026-04-26,559,5326127,88.77,6.297
2026-04-27,286,2358731,39.31,7.275
2026-04-28,700,6075976,101.27,6.912
2026-04-29,845,5627611,93.79,9.009
2026-04-30,646,4225166,70.42,9.174
